,link,price,condo_fee,bedrooms,bathrooms,vacancies,total_area_m2,address,description,rua,bairro
0,/lancamento/venda-apartamento-4-quartos-ilha-de-santa-maria-vitoria-es-150m2-id-2607113180/,1329104.0,0.0,3,5,2,110,"Avenida Marechal Mascarenhas de Moraes, Ilha de Santa Maria",Una Residence,Avenida Marechal Mascarenhas de Moraes, Ilha de Santa Maria
1,/lancamento/venda-apartamento-4-quartos-jardim-asteca-vila-velha-es-342m2-id-2520267728/,,0.0,2,3,3,188,"Rodovia Darly Santos, Jardim Asteca",Costa Mare Residence Club,Rodovia Darly Santos, Jardim Asteca
2,/lancamento/venda-apartamento-4-quartos-enseada-do-sua-vitoria-es-137m2-id-2475051533/,,0.0,3,3,2,107,"Rua Abiail do Amaral Carneiro, Enseada do Suá",The Gallery Art Residence,Rua Abiail do Amaral Carneiro, Enseada do Suá
3,/imovel/venda-apartamento-2-quartos-com-piscina-mata-da-praia-vitoria-es-62m2-id-2603693229/,580000.0,670.0,2,2,1,62,"Rua Genserico Encarnação, Mata da Praia",Apartamento Dois Quartos com Suíte na Mata da Praia - Vitória - ES,Rua Genserico Encarnação, Mata da Praia
4,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-da-penha-vitoria-es-74m2-id-2621212614/,750000.0,553.0,2,2,1,74,Jardim da Penha,Apartamento 2 quartos a venda em Jardim da Penha,Jardim da Penha,
5,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-70m2-id-2600153519/,550000.0,0.0,2,2,2,70,"Rua Carlos Martins, Jardim Camburi",Apartamento para venda com 70 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Rua Carlos Martins, Jardim Camburi
6,/imovel/venda-apartamento-4-quartos-mobiliado-ilha-de-santa-maria-vitoria-es-150m2-id-2625513692/,222506.0,0.0,4,3,3,150,"Avenida Marechal Mascarenhas de Moraes, Ilha de Santa Maria",UNA RESIDENCE PISCINA BORDA INFINITA,Avenida Marechal Mascarenhas de Moraes, Ilha de Santa Maria
7,/imovel/venda-apartamento-2-quartos-com-jardim-jardim-camburi-vitoria-es-55m2-id-2625953183/,399000.0,400.0,2,1,1,55,"Rua Theófilo Costa, Jardim Camburi",Apartamento para venda tem 55 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Rua Theófilo Costa, Jardim Camburi
8,/imovel/venda-apartamento-1-quarto-com-jardim-bento-ferreira-vitoria-es-40m2-id-2625680760/,210000.0,250.0,1,1,0,40,"Avenida Carlos Moreira Lima, Bento Ferreira",Apartamento para venda com 40 metros quadrados com 1 quarto em Bento Ferreira - Vitória - ES,Avenida Carlos Moreira Lima, Bento Ferreira
9,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-56m2-id-2625733178/,450000.0,370.0,2,2,1,56,Jardim Camburi,Apto 2 quartos sendo 1 suíte no cond. Recanto de Camburi,Jardim Camburi,
10,/imovel/venda-apartamento-2-quartos-com-seguranca-interna-jardim-da-penha-vitoria-es-69m2-id-2626028269/,420000.0,350.0,2,2,1,69,"Rua Amélia Tartuce Nasser, Jardim da Penha",Apartamento para venda com 69 metros2 2ª qda praia com 2 quartos em Jardim da Penha - Vitória - ES,Rua Amélia Tartuce Nasser, Jardim da Penha
11,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-92m2-id-2625810075/,840000.0,0.0,3,3,2,92,"Rua Júlia Lacourt Penna, Jardim Camburi",Apartamento 3 quartos com 2 suítes em Jardim Camburi a 2 passos do calçadão,Rua Júlia Lacourt Penna, Jardim Camburi
12,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-85m2-id-2625769960/,390000.0,380.0,3,2,1,85,"Rua Maria dos Santos Cunha, Jardim Camburi","Apartamento, 3 qtos, 85 mt², sol manhã, Jardim Camburi - Vitória - ES",Rua Maria dos Santos Cunha, Jardim Camburi
13,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-68m2-id-2625276646/,340000.0,640.0,2,2,1,68,"Avenida Engenheiro Charles Bitran, Jardim Camburi",Apartamento para venda possui 68 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Avenida Engenheiro Charles Bitran, Jardim Camburi
14,/imovel/venda-apartamento-2-quartos-com-piscina-santa-luiza-vitoria-es-82m2-id-2549463840/,500000.0,381.0,2,2,1,82,"Avenida Nossa Senhora da Penha, Santa Luíza",Apto 02 Quartos Santa Luzia,Avenida Nossa Senhora da Penha, Santa Luíza
15,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-70m2-id-2625797606/,550000.0,350.0,2,1,1,70,"Rua Humberto Balbi, Jardim Camburi",Apartamento com 2 quartos no UNIQUE RESIDENCE - Bairro Jardim Camburi em Vitória,Rua Humberto Balbi, Jardim Camburi
16,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-62m2-id-2625961664/,618000.0,380.0,2,2,1,62,"Rua Gelu Vervloet dos Santos, Jardim Camburi",Apartamento para venda possui 62 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Rua Gelu Vervloet dos Santos, Jardim Camburi
17,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-63m2-id-2625759779/,499000.0,425.0,2,2,1,63,Jardim Camburi,Apartamento com vista livre em Jardim Camburi,Jardim Camburi,
18,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-da-penha-vitoria-es-84m2-id-2625520756/,420000.0,300.0,2,2,1,84,"Rua Arthur Czartoryski, Jardim da Penha",Apartamento para venda com 84 metros quadrados com 2 quartos em Jardim da Penha - Vitória - ES,Rua Arthur Czartoryski, Jardim da Penha
19,/imovel/venda-apartamento-2-quartos-jardim-da-penha-vitoria-es-84m2-id-2625709098/,420000.0,310.0,2,2,1,84,"Rua Arthur Czartoryski, Jardim da Penha",Apartamento de 02 quartos à venda em Jardim da Penha,Rua Arthur Czartoryski, Jardim da Penha
20,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-68m2-id-2625513775/,625000.0,475.0,2,2,1,68,Jardim Camburi,Apartamento para venda com 68 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Jardim Camburi,
21,/imovel/venda-apartamento-3-quartos-bento-ferreira-vitoria-es-85m2-id-2575354820/,650000.0,600.0,3,2,2,85,"Rua Neves Armond, Bento Ferreira",Apartamento em Bento Ferreira - Vitória,Rua Neves Armond, Bento Ferreira
22,/imovel/venda-apartamento-2-quartos-com-churrasqueira-praia-de-santa-helena-vitoria-es-85m2-id-2625822055/,450000.0,430.0,2,2,1,85,"Rua Almirante Soído, Praia de Santa Helena",Apartamento em Praia de Santa Helena - Vitória,Rua Almirante Soído, Praia de Santa Helena
23,/imovel/venda-apartamento-3-quartos-com-piscina-praia-do-canto-vitoria-es-115m2-id-2626029029/,990000.0,660.0,3,2,2,115,"Rua Madeira de Freitas, Praia do Canto",Apartamento para venda com 115m² com 3 quartos com suíte em Praia do Canto - Vitória - ES,Rua Madeira de Freitas, Praia do Canto
24,/imovel/venda-apartamento-3-quartos-jardim-camburi-vitoria-es-67m2-id-2625774758/,499000.0,,3,2,1,67,"Rua Arquiteto Décio Thevenard, Jardim Camburi",Apartamento três quartos por um preço imperdível,Rua Arquiteto Décio Thevenard, Jardim Camburi
25,/imovel/venda-apartamento-2-quartos-com-elevador-jardim-camburi-vitoria-es-67m2-id-2583655761/,585000.0,586.0,2,1,1,67,Jardim Camburi,EXCLUSIVO. Apt°.para venda tem 67 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Jardim Camburi,
26,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-54m2-id-2625510234/,470000.0,320.0,2,2,1,54,"Rua Arquiteto Décio Thevenard, Jardim Camburi",Apartamento para venda possui 54 metros quadrados com 2 quartos em Jardim Camburi - Vitória - ES,Rua Arquiteto Décio Thevenard, Jardim Camburi
27,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-115m2-id-2625942574/,620000.0,620.0,3,2,1,115,"Rua Carlos Martins, Jardim Camburi",Apartamento para venda tem 115 metros quadrados com 3 quartos em Jardim Camburi - Vitória - ES,Rua Carlos Martins, Jardim Camburi
28,/imovel/venda-apartamento-2-quartos-mobiliado-santa-luiza-vitoria-es-85m2-id-2549995095/,520000.0,550.0,2,1,1,85,"Avenida Nossa Senhora da Penha, Santa Luíza",Apartamento 2 quartos Santa Luiza (Barro Vermelho),Avenida Nossa Senhora da Penha, Santa Luíza
29,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-58m2-id-2625244914/,495000.0,350.0,2,1,1,58,Jardim Camburi,Apartamento para venda possui 58m² com 2 quartos sendo 01 Suíte em Jardim Camburi - Vitória - ES,Jardim Camburi,
30,/imovel/venda-apartamento-2-quartos-com-piscina-bento-ferreira-vitoria-es-55m2-id-2494904666/,489955.0,,2,2,1,55,"Rua Lauro Cunha Freire, Bento Ferreira",Apartamento 2 quartos em Bento Ferreira - Vitória,Rua Lauro Cunha Freire, Bento Ferreira
31,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-da-penha-vitoria-es-85m2-id-2625993264/,595000.0,0.0,3,2,1,85,"Rua Carijós, Jardim da Penha","Apartamento com 85 m2, todo montado, aconchegante, com espaços muito bem divididos, Jardim da Penha.",Rua Carijós, Jardim da Penha
32,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-127m2-id-2625873510/,1070000.0,550.0,3,4,2,127,"Rua Florêncio Baptista, Jardim Camburi",Duplex a venda tem 127 metros quadrados com 3 quartos em Jardim Camburi - Vitória - ES,Rua Florêncio Baptista, Jardim Camburi
33,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-camburi-vitoria-es-65m2-id-2603747520/,630000.0,424.0,2,2,2,65,"Rua Agenor Amaro dos Santos, Jardim Camburi",Vendo- La Vita - Lazer Clube próximo Praia -Apartamento 2 quartos sendo 1 suíte -Jardim Camburi,Rua Agenor Amaro dos Santos, Jardim Camburi
34,/imovel/venda-apartamento-2-quartos-mobiliado-praia-do-canto-vitoria-es-80m2-id-2595348170/,850000.0,440.0,2,2,1,80,"Avenida Rio Branco, Praia do Canto","Apartamento com 2 quartos 1 suíte 1 vaga à venda, 80 m² - Praia do Canto - Vitória/ES",Avenida Rio Branco, Praia do Canto
35,/imovel/venda-apartamento-3-quartos-santa-lucia-vitoria-es-84m2-id-2625749969/,250000.0,,3,2,2,84,"Rua Henry Ford, Santa Lúcia",05- Apartamento em Santa Lúcia,Rua Henry Ford, Santa Lúcia
36,/imovel/venda-apartamento-3-quartos-com-academia-ilha-do-boi-vitoria-es-145m2-id-2625970153/,750000.0,850.0,3,3,1,145,"Rua Renato Nascimento Daher Carneiro, Ilha do Boi",Apartamento próximo da praia com 145 metros quadrados 3 quartos na Ilha do Boi - Vitória - ES,Rua Renato Nascimento Daher Carneiro, Ilha do Boi
